number,name
38,workshop-week-end-milan
39,workshop-week-end-berlin
40,workshop-week-end-geneva
41,seminar-yoga-of-touch-(non-residential-)-geneva-
42,workshop-week-end-paris
43,seminar-(residential)-delphi-
44,seminar-(residential)-casole-d-elsa-(siena)
45,seminar-(residential)-goutelas-(lyon)
46,workshop-week-end-vevey-
47,chan-(non-residential)-vevey
48,workshop-week-end-turin
57,workshop-week-end-parigi
49,seminar-yoga-of-touch-(residential)-titignano-(orvieto)
50,workshop-week-end-berlin
53,seminar-(residential)-gut-helmeringen-(ulm)
52,workshop-week-end-paris
51,seminar-yoga-of-touch-(non-residential)-barcelona
54,wokshop-week-end-basel
55,seminar-(residential)-goutelas-(lyon)
58,touch-yoga-seminar-(residential)-gut-helmeringen-(ulm)
